The Economist,2011,Nonfiction,People Who Eat Darkness: The Fate of Lucie Blackman,Richard Lloyd Parry,Jonathan Cape,
The Economist,2005,Nonfiction,Conspiracy of Fools: A True Story,Kurt Eichenwald,,
The Economist,2006,Nonfiction,Journey Through Great Britain ,Iqbal Ahmed,,
The Economist,2004,Nonfiction,Will in the World: How Shakespeare Became Shakespeare,Stephen Greenblatt,,
The Economist,2004,Economics and Business,Other People's Money: The Corporate Mugging of America,Nomi Prins,,
The Economist,2007,Economics and Business,The Bottom Billion: Why the Poorest Countries are Failing and What Can Be Done About It,Paul Collier,,
The Economist,2004,Economics and Business,The Fortune at the Bottom of the Pyramid: Eradicating Poverty Through Profits,C.K. Prahalad,,
The Economist,2012,Economics and Business,"Why Nations Fail: The Origins of Power, Prosperity and Poverty",Daron Acemoglu ,James Robinson,
The Economist,2011,Economics and Business,Poor Economics: A Radical Rethinking of the Way to Fight Global Poverty,Abhijit Banerjee,Esther Duflo,
The Economist,2008,Economics and Business,Capitalism with Chinese Characteristics: Entrepreneurship and the State,Yasheng Huang,,
The Economist,2005,Economics and Business,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,Stephen J. Dubner,
The Economist,2004,Economics and Business,"Global Crises, Global Solutions",Bjorn Lomborg,,
The Economist,2009,Economics and Business,How Markets Fail: The Logic of Economic Calamities,John Cassidy,,
The Economist,2002,Economics and Business,Small is Profitable: The Hidden Economic Benefits of Making Electrical Resources the Right Size, Amory Lovins,,
The Economist,2008,Economics and Business,The Logic of Life: The Rational Economics of an Irrational World,Tim Harford,,
The Economist,2005,Economics and Business,The Origins of Value: The Financial Innovations that Created Modern Capital Markets,William N. Goetzmann,K. Geert Rouwenhorst,
The Economist,2008,Economics and Business,The Venturesome Economy: How Innovation Sustains Prosperity in a More Connected World,Amar Bhide,,
The Economist,2004,Economics and Business,Why Globalization Works,Martin Wolf,,
The Economist,2007,Economics and Business,From Higher Aims to Hired Hands: The Social Transformation of American Business Schools and the Unfulfilled Promise of Management as a Profession,Rakesh Khurana,,
The Economist,2002,Nonfiction,Paris Hollywood: Writings on Film,Peter Wollen,,
The Economist,2008,Nonfiction,How Fiction Works,James Wood,,
The Economist,2011,Nonfiction,The Possessed: Adventures with Russian Books and the People Who Read Them,Elif Batuman,,
The Economist,2012,Nonfiction,When I Was a Child I Read Books,Marilynne Robinson,,
The Economist,2012,Nonfiction,Pulphead: Essays,John Jeremiah Sullivan,,
The Economist,2012,Nonfiction,Winter: Five Windows on the Season,Adam Gopnik,,
The Economist,2011,Fiction,1Q84,Haruki Murakami,,
The Economist,2007,Fiction,Harry Potter and the Deathly Hallows,J.K. Rowling,,
The Economist,2000,Fiction,HARRY POTTER AND THE GOBLET OF FIRE,J.K. Rowling,,
The Economist,2010,Economics and Business,More Money Than God: Hedge Funds and the Making of the New Elite,Sebastian Mallaby,,
The Economist,2012,Nonfiction,The Art of the Restaurateur,Nicholas Lander,,
The Economist,2001,Fiction,As Meat Loves Salt,Maria McCann,,
The Economist,2001,Fiction,Atonement,Ian McEwan,,
The Economist,2001,Fiction,Austerlitz,W.G. Sebald,,
The Economist,2001,Fiction,Balzac and the Little Chinese Seamstress,Dai Sijie,,
The Economist,2012,Fiction,Bring up the Bodies,Hilary Mantel,,
The Economist,2000,Fiction,English Passengers,Matthew Kneale,,
The Economist,2004,Nonfiction,A Little History of British Gardening,Jenny Uglow,,
The Economist,2005,Nonfiction,A Year in the Life of William Shakespeare: 1599,James Shapiro,,
The Economist,2008,Nonfiction,Artists in Exile: How Refugees from Twentieth-Century War and Revolution Transformed the American Performing Arts, Joseph Horowitz,,
The Economist,2006,Nonfiction,Casting a Spell: The Bamboo Fly Rod and the American Pursuit of Perfection ,George Black,,
The Economist,2005,Nonfiction,"Edge of Empire: Lives, Culture, and Conquest in the East, 1750-1850",Maya Jasanoff,,
The Economist,2005,Nonfiction,Edge of the Orison: In the Traces of John Clare's “Journey out of Essex”,Iain Sinclair,,
The Economist,2005,Nonfiction,Italia Romantica: English Romantics and Italian Freedom,Roderick Cavaliero,,
The Economist,2005,Nonfiction,Shakespeare Goes to Paris: How the Bard Conquered France,John Pemble,,
The Economist,2006,Nonfiction,"The Yellow House: Van Gogh, Gauguin, and Nine Turbulent Weeks in Arles",Martin Gayford,,
The Economist,2009,Nonfiction,A Jury of Her Peers: American Women Writers from Anne Bradstreet to Annie Proulx,Elaine Showalter,,
The Economist,2009,Nonfiction,"The Letters of Samuel Beckett, 1929-1940",Samuel Beckett, Lois More Overbeck ,Martha Dow Fehsenfeld
The Economist,2010,Nonfiction,Showtime: A History of the Broadway Musical Theatre,Larry Stempel,,
The Economist,2010,Nonfiction,"Sweetness and Blood: How Surfing Spread from Hawaii and California to the Rest of the World, With Some Unexpected Results",Michael Scott Moore,,
The Economist,2011,Nonfiction,The Better Angels of our Nature: Why Violence Has Declined,Steven Pinker,,
The Economist,2003,Nonfiction,Corn and Capitalism: How a Botanical Bastard Grew to Global Dominance,Arturo Warman,,
The Economist,2012,Nonfiction,Freedom’s Forge: How American Business Produced Victory in World War II,Arthur Herman,,
The Economist,2009,Nonfiction,Lords of Finance: The Bankers Who Broke the World,Liaquat Ahamed,,
The Economist,2005,Nonfiction,"Medici Money: Banking, Metaphysics, and Art in Fifteenth-Century Florence",Tim Parks,,
The Economist,2004,Nonfiction,"Mr China: A Wall Street Banker, an Englishman, an ex-Red Guard and $418,000,000 Disappearing Day by Day",Tim Clissold,,
The Economist,2010,Nonfiction,The Big Short: Inside the Doomsday Machine,Michael Lewis,,
The Economist,2007,Nonfiction,"The Last Tycoons: The Secret History of Lazard Frères & Co- A Tale of Unrestrained Ambition, Billion-Dollar Fortunes, Byzantine Power Struggles, and Hidden Scandal",William D. Cohan,,
The Economist,2009,Nonfiction,Too Big to Fail: The Inside Story of How Wall Street and Washington Fought to Save the Financial Systems- and Themselves,Andrew Ross Sorkin,,
The Economist,2011,Nonfiction,"Reckless Endangerment: How Outsized Ambition, Greed, and Corruption Led to Economic Armageddon",Gretchen Morgenson,Joshua Rosner,
The Economist,2011,Nonfiction,"The Great Stagnation: How America Ate All the Low-Hanging Fruit of Modern History, Got Sick, and Will (Eventually) Feel Better",Tyler Cowen,,
The Economist,2009,Nonfiction,1688: The First Modern Revolution,Steve Pincus,,
The Economist,2007,Nonfiction,"1967: Israel, the War and the Year that Transformed the Middle East",Tom Segev,,
The Economist,2005,Nonfiction,"A Great Improvisation: Franklin, France, and the Birth of America",Stacy Schiff,,
The Economist,2010,Nonfiction,A History of the World in 100 Objects,Neil MacGregor,,
The Economist,2005,Nonfiction,A Life in Secrets: The Story of Vera Atkins and the Lost Agents of SOE,Sarah Helm,,
The Economist,2008,Nonfiction,A Splendid Exchange: How Trade Shaped the World,William J. Bernstein,,
The Economist,2005,Nonfiction,"Agincourt: The King, the Campaign, the Battle",Juliet Barker,,
The Economist,2003,Nonfiction,All the Shah's Men: An American Coup and the Roots of Middle East Terror,Stephen Kinzer,,
The Economist,2008,Nonfiction,American Rifle: A Biography,Alexander Rose,,
The Economist,2011,Nonfiction,"Berlin 1961: Kennedy, Khrushchev, and the Most Dangerous Place on Earth",Frederick Kempe,,
The Economist,2002,Nonfiction,Bitter Bonds: A Colonial Divorce Drama of the Seventeenth Century,Leonard Blusse,,
The Economist,2003,Nonfiction,Black Earth: A Journey Through Russia After the Fall,Andrew Meier,,
The Economist,2010,Nonfiction,Bloodlands: Europe between Hitler and Stalin,Timothy Snyder,,
The Economist,2007,Nonfiction,Byzantium: The Surprising Life of a Medieval Empire,Judith Herrin,,
The Economist,2003,Nonfiction,"Castles of Steel: Britain, Germany, and the Winning of the Great War at Sea",Robert K. Massie,,
The Economist,2002,Nonfiction,"Crossroads of Freedom: Antietam, the Battle that Changed the Course of the Civil War",James M. McPherson,,
